category,region,mnari,pcfci,avg_kcalories,avg_ca(mg),avg_folate(mcg),avg_iron(mg),avg_niacin(mg),avg_riboflavin(mg),avg_thiamin(mg),avg_vita(mcg),avg_vitb12(mcg),avg_vitb6(mg),avg_zinc(mg),vcci,maize(mt),rice(mt),sorghum(mt),cassava(mt),millet(mt),commodity,price
0,Ashanti,0.3577,0.7515,46.39,77.39,48.61,50.32,54.35,44.24,34.76,72.6,72.27,50.19,40.1,0.409,35684,13589,107,314125,0,Millet,38.75
0,Ashanti,0.3577,0.7515,46.39,77.39,48.61,50.32,54.35,44.24,34.76,72.6,72.27,50.19,40.1,0.409,35684,13589,107,314125,0,Rice (Local),36.5
0,Ashanti,0.3577,0.7515,46.39,77.39,48.61,50.32,54.35,44.24,34.76,72.6,72.27,50.19,40.1,0.409,35684,13589,107,314125,0,Yam,52.5
0,Ashanti,0.3577,0.7515,46.39,77.39,48.61,50.32,54.35,44.24,34.76,72.6,72.27,50.19,40.1,0.409,35684,13589,107,314125,0,Cassava,8.28
0,Ashanti,0.3577,0.7515,46.39,77.39,48.61,50.32,54.35,44.24,34.76,72.6,72.27,50.19,40.1,0.409,35684,13589,107,314125,0,Maize,12.5
0,Ashanti,0.3577,0.7515,46.39,77.39,48.61,50.32,54.35,44.24,34.76,72.6,72.27,50.19,40.1,0.409,35684,13589,107,314125,0,Millet,55.5
0,Ashanti,0.3577,0.7515,46.39,77.39,48.61,50.32,54.35,44.24,34.76,72.6,72.27,50.19,40.1,0.409,35684,13589,107,314125,0,Rice (Local),37.5
0,Ashanti,0.3577,0.7515,46.39,77.39,48.61,50.32,54.35,44.24,34.76,72.6,72.27,50.19,40.1,0.409,35684,13589,107,314125,0,Sorghum,39.33
0,Ashanti,0.3577,0.7515,46.39,77.39,48.61,50.32,54.35,44.24,34.76,72.6,72.27,50.19,40.1,0.409,35684,13589,107,314125,0,Yam,53.5
0,Ashanti,0.3577,0.7515,46.39,77.39,48.61,50.32,54.35,44.24,34.76,72.6,72.27,50.19,40.1,0.409,35684,13589,107,314125,0,Maize,16.74
0,Ashanti,0.3577,0.7515,46.39,77.39,48.61,50.32,54.35,44.24,34.76,72.6,72.27,50.19,40.1,0.409,35684,13589,107,314125,0,Rice (Imported),36.5
0,Ashanti,0.3577,0.7515,46.39,77.39,48.61,50.32,54.35,44.24,34.76,72.6,72.27,50.19,40.1,0.409,35684,13589,107,314125,0,Sorghum,39.25
0,Ashanti,0.3577,0.7515,46.39,77.39,48.61,50.32,54.35,44.24,34.76,72.6,72.27,50.19,40.1,0.409,35684,13589,107,314125,0,Cassava,7.5
0,Ashanti,0.3577,0.7515,46.39,77.39,48.61,50.32,54.35,44.24,34.76,72.6,72.27,50.19,40.1,0.409,35684,13589,107,314125,0,Maize,19.6
0,Ashanti,0.3577,0.7515,46.39,77.39,48.61,50.32,54.35,44.24,34.76,72.6,72.27,50.19,40.1,0.409,35684,13589,107,314125,0,Millet,41.0
0,Ashanti,0.3577,0.7515,46.39,77.39,48.61,50.32,54.35,44.24,34.76,72.6,72.27,50.19,40.1,0.409,35684,13589,107,314125,0,Sorghum,43.5
0,Ashanti,0.3577,0.7515,46.39,77.39,48.61,50.32,54.35,44.24,34.76,72.6,72.27,50.19,40.1,0.409,35684,13589,107,314125,0,Cassava,7.67
0,Ashanti,0.3577,0.7515,46.39,77.39,48.61,50.32,54.35,44.24,34.76,72.6,72.27,50.19,40.1,0.409,35684,13589,107,314125,0,Rice (Imported),35.67
0,Ashanti,0.3577,0.7515,46.39,77.39,48.61,50.32,54.35,44.24,34.76,72.6,72.27,50.19,40.1,0.409,35684,13589,107,314125,0,Rice (Local),38.1
0,Ashanti,0.3577,0.7515,46.39,77.39,48.61,50.32,54.35,44.24,34.76,72.6,72.27,50.19,40.1,0.409,35684,13589,107,314125,0,Yam,58.33
0,Ashanti,0.3577,0.7515,46.39,77.39,48.61,50.32,54.35,44.24,34.76,72.6,72.27,50.19,40.1,0.409,35684,13589,107,314125,0,Cassava,7.0
0,Ashanti,0.3577,0.7515,46.39,77.39,48.61,50.32,54.35,44.24,34.76,72.6,72.27,50.19,40.1,0.409,35684,13589,107,314125,0,Maize,22.53
0,Ashanti,0.3577,0.7515,46.39,77.39,48.61,50.32,54.35,44.24,34.76,72.6,72.27,50.19,40.1,0.409,35684,13589,107,314125,0,Rice (Imported),35.75
0,Ashanti,0.3577,0.7515,46.39,77.39,48.61,50.32,54.35,44.24,34.76,72.6,72.27,50.19,40.1,0.409,35684,13589,107,314125,0,Sorghum,32.75
0,Ashanti,0.3577,0.7515,46.39,77.39,48.61,50.32,54.35,44.24,34.76,72.6,72.27,50.19,40.1,0.409,35684,13589,107,314125,0,Yam,68.25
0,Ashanti,0.3577,0.7515,46.39,77.39,48.61,50.32,54.35,44.24,34.76,72.6,72.27,50.19,40.1,0.409,35684,13589,107,314125,0,Cassava,6.25
0,Ashanti,0.3577,0.7515,46.39,77.39,48.61,50.32,54.35,44.24,34.76,72.6,72.27,50.19,40.1,0.409,35684,13589,107,314125,0,Rice (Imported),35.5
0,Ashanti,0.3577,0.7515,46.39,77.39,48.61,50.32,54.35,44.24,34.76,72.6,72.27,50.19,40.1,0.409,35684,13589,107,314125,0,Sorghum,29.5
0,Ashanti,0.3577,0.7515,46.39,77.39,48.61,50.32,54.35,44.24,34.76,72.6,72.27,50.19,40.1,0.409,35684,13589,107,314125,0,Yam,87.5
0,Ashanti,0.3577,0.7515,46.39,77.39,48.61,50.32,54.35,44.24,34.76,72.6,72.27,50.19,40.1,0.409,35684,13589,107,314125,0,Rice (Imported),35.88
0,Ashanti,0.3577,0.7515,46.39,77.39,48.61,50.32,54.35,44.24,34.76,72.6,72.27,50.19,40.1,0.409,35684,13589,107,314125,0,Yam,88.5
0,Ashanti,0.3577,0.7515,46.39,77.39,48.61,50.32,54.35,44.24,34.76,72.6,72.27,50.19,40.1,0.409,35684,13589,107,314125,0,Cassava,8.08
0,Ashanti,0.3577,0.7515,46.39,77.39,48.61,50.32,54.35,44.24,34.76,72.6,72.27,50.19,40.1,0.409,35684,13589,107,314125,0,Maize,26.93
0,Ashanti,0.3577,0.7515,46.39,77.39,48.61,50.32,54.35,44.24,34.76,72.6,72.27,50.19,40.1,0.409,35684,13589,107,314125,0,Millet,35.75
0,Ashanti,0.3577,0.7515,46.39,77.39,48.61,50.32,54.35,44.24,34.76,72.6,72.27,50.19,40.1,0.409,35684,13589,107,314125,0,Rice (Local),47.2
0,Ashanti,0.3577,0.7515,46.39,77.39,48.61,50.32,54.35,44.24,34.76,72.6,72.27,50.19,40.1,0.409,35684,13589,107,314125,0,Yam,93.5
0,Ashanti,0.3577,0.7515,46.39,77.39,48.61,50.32,54.35,44.24,34.76,72.6,72.27,50.19,40.1,0.409,35684,13589,107,314125,0,Maize,25.6
0,Ashanti,0.3577,0.7515,46.39,77.39,48.61,50.32,54.35,44.24,34.76,72.6,72.27,50.19,40.1,0.409,35684,13589,107,314125,0,Rice (Imported),35.85
0,Ashanti,0.3577,0.7515,46.39,77.39,48.61,50.32,54.35,44.24,34.76,72.6,72.27,50.19,40.1,0.409,35684,13589,107,314125,0,Sorghum,30.0
0,Ashanti,0.3577,0.7515,46.39,77.39,48.61,50.32,54.35,44.24,34.76,72.6,72.27,50.19,40.1,0.409,35684,13589,107,314125,0,Yam,90.0
0,Ashanti,0.3577,0.7515,46.39,77.39,48.61,50.32,54.35,44.24,34.76,72.6,72.27,50.19,40.1,0.409,35684,13589,107,314125,0,Cassava,7.25
0,Ashanti,0.3577,0.7515,46.39,77.39,48.61,50.32,54.35,44.24,34.76,72.6,72.27,50.19,40.1,0.409,35684,13589,107,314125,0,Maize,27.25
0,Ashanti,0.3577,0.7515,46.39,77.39,48.61,50.32,54.35,44.24,34.76,72.6,72.27,50.19,40.1,0.409,35684,13589,107,314125,0,Sorghum,32.0
0,Ashanti,0.3577,0.7515,46.39,77.39,48.61,50.32,54.35,44.24,34.76,72.6,72.27,50.19,40.1,0.409,35684,13589,107,314125,0,Maize,27.9
0,Ashanti,0.3577,0.7515,46.39,77.39,48.61,50.32,54.35,44.24,34.76,72.6,72.27,50.19,40.1,0.409,35684,13589,107,314125,0,Sorghum,33.0
0,Ashanti,0.3577,0.7515,46.39,77.39,48.61,50.32,54.35,44.24,34.76,72.6,72.27,50.19,40.1,0.409,35684,13589,107,314125,0,Yam,93.0
0,Ashanti,0.3577,0.7515,46.39,77.39,48.61,50.32,54.35,44.24,34.76,72.6,72.27,50.19,40.1,0.409,35684,13589,107,314125,0,Maize,29.3
0,Ashanti,0.3577,0.7515,46.39,77.39,48.61,50.32,54.35,44.24,34.76,72.6,72.27,50.19,40.1,0.409,35684,13589,107,314125,0,Millet,34.13
0,Ashanti,0.3577,0.7515,46.39,77.39,48.61,50.32,54.35,44.24,34.76,72.6,72.27,50.19,40.1,0.409,35684,13589,107,314125,0,Rice (Local),37.63
